short_name,capacity,lon,name,station_id,lat,region_id,address
559,11,-87.655073,Racine Ave & Garfield Blvd,a3b222fc-a135-11e9-9cda-0a87ae2ba916,41.794228,,
KA1503000054,15,-87.6059702038765,Cottage Grove Ave & 63rd St,a3ad95a7-a135-11e9-9cda-0a87ae2ba916,41.78053094070882,,
22004,19,-87.590461,Blackstone Ave & 59th St,1850866657089146912,41.787877,,
TA1307000005,15,-87.622481,Indiana Ave & 26th St,a3a62fc9-a135-11e9-9cda-0a87ae2ba916,41.845687,,
TA1305000034,23,-87.673935,Honore St & Division St,a3a3b731-a135-11e9-9cda-0a87ae2ba916,41.903119,,
KA1504000103,23,-87.6865960164,Western Ave & Walton St,a3ac9d43-a135-11e9-9cda-0a87ae2ba916,41.89841768945,,
16970,11,-87.578496,Bennett Ave & 79th St,a3b2862e-a135-11e9-9cda-0a87ae2ba916,41.751785,,
657,15,-87.6722,Wood St & Augusta Blvd,a3b481e1-a135-11e9-9cda-0a87ae2ba916,41.899181,,
593,11,-87.644874,Halsted St & 59th St,a3b2d2b7-a135-11e9-9cda-0a87ae2ba916,41.787539,,
530,11,-87.755527,Laramie Ave & Kinzie St,a3b11480-a135-11e9-9cda-0a87ae2ba916,41.887832,,
16951,11,-87.67363429069519,Damen Ave & 74th St,a3b24701-a135-11e9-9cda-0a87ae2ba916,41.759274039331224,,
15443,11,-87.635491,Shields Ave & 28th Pl,a3ad13e4-a135-11e9-9cda-0a87ae2ba916,41.842733,,
TA1307000139,19,-87.617,MLK Jr Dr & 29th St,a3a859c4-a135-11e9-9cda-0a87ae2ba916,41.842052,,
23002,15,-87.677296,Lincoln Ave & Byron St,1799277526470631980,41.952372,,
KA1504000158,15,-87.6860796243,Oakley Ave & Irving Park Rd,a3afbe2e-a135-11e9-9cda-0a87ae2ba916,41.95434085219,,
15446,15,-87.65621066093445,Racine Ave & 35th St,a3ac7e9a-a135-11e9-9cda-0a87ae2ba916,41.83068856472101,,
16912,11,-87.746619,Cicero Ave & Flournoy St,a3b13e66-a135-11e9-9cda-0a87ae2ba916,41.872131,,
TA1309000033,19,-87.653818,Sheffield Ave & Webster Ave,a3aabad8-a135-11e9-9cda-0a87ae2ba916,41.92154,,
KA1504000139,15,-87.7191281797,Monticello Ave & Irving Park Rd,a3afb401-a135-11e9-9cda-0a87ae2ba916,41.95400483876,,
580,11,-87.552096,Exchange Ave & 79th St,a3b2905a-a135-11e9-9cda-0a87ae2ba916,41.752029,,
TA1306000013,31,-87.61861681938171,New St & Illinois St,a3a3e67b-a135-11e9-9cda-0a87ae2ba916,41.890847040623804,,
TA1307000161,11,-87.64572,Halsted St & 37th St,a3a96aca-a135-11e9-9cda-0a87ae2ba916,41.827059,,
561,11,-87.67414391040802,Damen Ave & 59th St,a3b22d3d-a135-11e9-9cda-0a87ae2ba916,41.785861065132,,
13398,19,-87.590368,Blackstone Ave & Hyde Park Blvd,a3a5a9d0-a135-11e9-9cda-0a87ae2ba916,41.802562,,
22003,15,-87.598906,University Ave & 59th St,1850868044363584392,41.787878,,
13325,15,-87.648636,Broadway & Waveland Ave,a3aa4017-a135-11e9-9cda-0a87ae2ba916,41.949074,,
